Task,Label,Description,Source
-1,No Shot Recorded,Penalty or unthrown stone captured in feed,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
0,Draw,Draw to the house or button,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
1,Guard,High guard or tight guard placed in front of the house,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
2,Raise,Raise a stone into the rings,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
3,Hit,Hit and stay in the rings,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
4,Hit and Roll,Hit with an intentional roll to a new location,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
5,Double Takeout,Remove two opposition stones,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
6,Runback,Runback or promote takeout through guards,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
7,Tap Back,Tap back or bump a stone deeper into the house,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
8,Freeze,Freeze to an existing stone,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
9,Peel,Peel to remove guards and roll out,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
10,Promotion,Promote a guard into a scoring position,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
11,Throw Through,Throw through the house,"Curling Canada Shot Matrix Guide (archived 2015-09-11)"
