TaskLabel,predicted_mean,actual_mean,attempts,lift_vs_actual
No Shot Recorded,7.277436577386308,7.48,25,-0.2025634226136921
Guard,1.8703534024697195,1.7794117647058822,136,0.09094163776383724
Double Takeout,1.7172225873678075,1.9245283018867925,53,-0.20730571451898494
Peel,1.658005067280544,1.7222222222222223,558,-0.06421715494167834
Hit and Roll,1.6391076647666405,1.6085271317829457,258,0.030580532983694786
Runback,1.6289255317280547,1.6624277456647398,865,-0.03350221393668518
Draw,1.6231481322660617,1.6133698201720095,2558,0.009778312094052222
Throw Through,1.6150386230267568,0.6666666666666666,3,0.9483719563600902
Promotion,1.6113244452565565,1.6440677966101696,177,-0.03274335135361306
Freeze,1.604914738432786,1.4954545454545454,220,0.10946019297824061
Tap Back,1.5929406133421167,1.619289340101523,394,-0.02634872675940625
Hit,1.5802084551647204,1.5817757009345794,428,-0.0015672457698590048
Raise,1.4311951074205893,1.3475409836065573,305,0.08365412381403203
